player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa
Alfonso Rivas,663845,2022,,,,,,,,,,,,,32,28
Emmanuel Rivera,656896,2022,,,,,,,,,,,,,39,12
Darin Ruf,573131,2022,65,24,50,62,73,44,61,61,64,17,93,37,15,
Willson Contreras,575929,2022,89,60,79,78,94,69,66,79,87,46,67,14,59,
Jorge Alfaro,595751,2022,,,,,,,,,,,,,89,
Franchy Cordero,614173,2022,47,30,53,62,40,40,77,66,73,4,66,4,84,2
Elias Díaz,553869,2022,11,21,10,15,19,14,21,36,35,54,43,74,25,
Keibert Ruiz,660688,2022,52,85,43,23,65,14,10,22,10,97,35,92,10,
Jake Burger,669394,2022,,,,,,,,,,,,,64,3
Miguel Cabrera,408234,2022,17,44,17,13,29,23,22,71,35,37,31,27,1,
Maikel Franco,596748,2022,9,48,23,19,8,31,22,18,19,62,1,25,13,18
Eugenio Suárez,553993,2022,69,12,72,85,54,88,89,42,51,3,88,6,18,43
Juan Soto,665742,2022,98,81,96,96,100,93,85,77,82,89,100,77,26,1
Daz Cameron,663662,2022,,,,,,,,,,,,,85,
Rob Refsnyder,608701,2022,,,,,,,,,,,,,47,
Eric Haase,606992,2022,,,,,,,,,,,,,69,
Brett Phillips,621433,2022,,,,,,,,,,,,,88,98
Christian Bethancourt,542194,2022,,,,,,,,,,,,,71,
Bryson Stott,681082,2022,10,23,9,13,23,8,11,27,19,74,52,92,89,63
Yairo Munoz,622168,2022,,,,,,,,,,,,,75,
Robinson Canó,429664,2022,,,,,,,,,,,,,4,
Kevin Kiermaier,595281,2022,36,53,42,35,29,17,40,27,41,14,27,12,93,63
Brandon Marsh,669016,2022,9,7,22,42,7,31,47,32,29,1,35,15,91,98
Tyler Stephenson,663886,2022,,,,,,,,,,,,,34,
Luis Robert,673357,2022,64,86,79,71,38,63,59,52,64,62,4,36,64,63
René Pinto,650907,2022,,,,,,,,,,,,,25,
Jake McCarthy,664983,2022,,,,,,,,,,,,,99,
Yan Gomes,543228,2022,,,,,,,,,,,,,31,
Chris Taylor,621035,2022,12,5,18,40,17,44,75,27,52,1,73,1,82,43
Josh Naylor,647304,2022,69,67,79,77,45,61,65,73,72,79,38,79,8,
Tommy Pham,502054,2022,43,31,37,39,51,44,41,91,84,24,78,32,74,18
Nick Solak,669256,2022,,,,,,,,,,,,,84,
Jose Herrera,645444,2022,,,,,,,,,,,,,11,
Colin Moran,592567,2022,,,,,,,,,,,,,2,
Tyler Heineman,623168,2022,,,,,,,,,,,,,42,
Luke Maile,571912,2022,,,,,,,,,,,,,10,
Eli White,642201,2022,,,,,,,,,,,,,99,
Curt Casali,592200,2022,,,,,,,,,,,,,4,
Wander Franco,677551,2022,70,94,61,28,75,14,17,32,39,98,37,96,67,28
Jonah Heim,641680,2022,25,29,33,36,27,31,37,74,62,55,54,64,22,
Danny Jansen,643376,2022,,,,,,,,,,,,,60,
TJ Friedl,670770,2022,,,,,,,,,,,,,73,
Hanser Alberto,593643,2022,,,,,,,,,,,,,17,
Cooper Hummel,669450,2022,,,,,,,,,,,,,90,
Manuel Margot,622534,2022,,,,,,,,,,,,,56,
Cristian Pache,665506,2022,,,,,,,,,,,,,83,95
