,player_name,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,xera,fb_velocity,fb_spin,curve_spin,rating
60,Chris Bassitt,0.76,0.67,0.71,0.74,0.79,0.27,0.68,0.76,0.88,0.6,0.81,0.32,0.76,0.28,0.3,0.32,9.65
61,Craig Stammen,0.76,0.48,0.57,0.65,0.88,0.57,0.79,0.57,0.7,0.49,0.99,0.33,0.76,0.22,0.47,0.34,9.57
62,James Karinchak,0.71,0.94,0.85,0.62,0.57,0.76,0.3,0.21,0.32,0.94,0.04,0.81,0.71,0.86,0.66,0.27,9.57
63,Drew Steckenrider,0.79,0.63,0.72,0.76,0.77,0.81,0.86,0.1,0.53,0.35,0.78,0.12,0.79,0.64,0.77,0.14,9.56
64,Drew Rasmussen,0.7,0.4,0.67,0.84,0.59,0.72,0.82,0.04,0.01,0.52,0.52,0.44,0.7,0.95,0.89,0.74,9.55
65,Tyler Wells,0.71,0.7,0.36,0.18,0.92,0.54,0.08,0.22,0.29,0.84,0.89,0.67,0.71,0.78,0.88,0.76,9.53
66,Brett Martin,0.74,0.21,0.66,0.91,0.65,0.92,0.97,0.68,0.87,0.06,0.91,0.23,0.74,0.5,0.34,0.14,9.53
67,Zach Thompson,0.7,0.67,0.69,0.69,0.66,0.57,0.62,0.76,0.82,0.3,0.41,0.53,0.7,0.1,0.92,0.24,9.38
68,Trevor Bauer,0.78,0.91,0.57,0.26,0.9,0.28,0.1,0.17,0.22,0.92,0.46,0.77,0.78,0.21,1,0.97,9.3
69,Will Smith,0.79,0.91,0.77,0.52,0.76,0.57,0.25,0.53,0.29,0.88,0.28,0.89,0.79,0.41,0.5,0.09,9.23
70,Josh Sborz,0.61,0.67,0.69,0.71,0.39,0.9,0.88,0.06,0.28,0.71,0.1,0.91,0.61,0.92,0.72,0.05,9.21
71,Corey Kluber,0.54,0.5,0.64,0.76,0.38,0.57,0.63,0.84,0.82,0.54,0.31,0.66,0.54,0.09,0.61,0.6,9.03
72,Reynaldo López,0.67,0.53,0.41,0.34,0.85,0.61,0.28,0.36,0.53,0.59,0.84,0.39,0.67,0.85,0.46,0.58,8.96
73,Alex Cobb,0.56,0.26,0.73,0.92,0.34,0.76,0.94,0.48,0.59,0.6,0.47,0.53,0.56,0.4,0.14,0.66,8.94
74,Shane Bieber,0.68,0.69,0.57,0.47,0.72,0.4,0.29,0.29,0.14,0.94,0.52,0.97,0.68,0.35,0.76,0.4,8.87
75,Domingo Germán,0.51,0.51,0.35,0.29,0.73,0.36,0.5,0.35,0.45,0.53,0.76,0.78,0.51,0.53,0.91,0.71,8.78
76,Brent Suter,0.68,0.46,0.6,0.67,0.65,0.67,0.79,0.96,0.8,0.37,0.58,0.14,0.68,0.03,0.31,0.27,8.66
77,Jameson Taillon,0.59,0.61,0.47,0.39,0.72,0.13,0.43,0.48,0.34,0.48,0.65,0.52,0.59,0.56,0.86,0.83,8.65
78,Caleb Smith,0.48,0.78,0.58,0.42,0.35,0.29,0.38,0.86,0.97,0.59,0.09,0.58,0.48,0.23,0.87,0.7,8.65
